Repair Order,,Ordem de Serviço
Repair Order Item,,Item da Ordem de Serviço
Repair Test,,Teste do Reparo
Service Device,,Aparelho do Cliente
Trade In Evaluation,,Avaliação de Troca
Trade In Checklist Item,,Item do Checklist de Troca
TecPonto Integration Settings,,Integrações TecPonto
TecPonto Automation Event,,Evento de Automação TecPonto
TecPonto Item Profile,,Perfil de Item TecPonto
TecPonto Operations Settings,,Políticas Operacionais TecPonto
TecPonto Cash Session,,Caixa TecPonto
TecPonto Cash Movement,,Movimento de Caixa TecPonto
TecPonto Contact Preference,,Preferência de Contato TecPonto
TecPonto Message Template,,Template de Mensagem TecPonto
TecPonto Direcao,,TecPonto Direção
TecPonto Ordem de Servico,,TecPonto Ordem de Serviço
TecPonto Avaliacao de Troca,,TecPonto Avaliação de Troca
Fluxo de Ordem de Servico TecPonto,,Fluxo de Ordem de Serviço TecPonto
Fluxo de Avaliacao de Troca TecPonto,,Fluxo de Avaliação de Troca TecPonto
Login to {0},,Entrar no {0}
Email,,E-mail
Password,,Senha
Show,,Mostrar
Forgot Password?,,Esqueceu a senha?
Login,,Entrar
Login with Email Link,,Entrar por link no e-mail
Search,,Buscar
Notification,,Notificações
Notifications,,Notificações
Home,,Início
Logout,,Sair
User Menu,,Menu do usuário
Actions,,Ações
Menu,,Menu
Save,,Salvar
Add row,,Adicionar linha
Comments,,Comentários
Activity,,Atividade
New Email,,Novo e-mail
Assign,,Atribuir
Attachments,,Anexos
Tags,,Etiquetas
Share,,Compartilhar
Last Edited By You,,Editado por você
Created By You,,Criado por você
just now,,agora
Begin typing for results.,,Digite para buscar.
Normal,,Normal
Table,,Tabela
Visit URL,,Abrir endereço
Edit,,Editar
Remove,,Remover
Workflow,,Fluxo
You created this,,Você criou este registro
You last edited this,,Você fez a última edição
Display,,Aparência
Reload,,Recarregar
Light,,Claro
Dark,,Escuro
Automatic,,Automático
Balcao,,Balcão
Nao se aplica,,Não se aplica
Nao sei avaliar,,Não sei avaliar
Ainda nao sei,,Ainda não sei
Ate R$ 500,,Até R$ 500
Depende da avaliacao,,Depende da avaliação
Nao quero voltar,,Não quero voltar
Encerrar sem conserto,,Encerrar sem conserto
Recebido,,Recebido
Em diagnostico,,Em diagnóstico
Aguardando aprovacao,,Aguardando aprovação
Aprovado,,Aprovado
Em reparo,,Em reparo
Em testes,,Em testes
Pronto para retirada,,Pronto para retirada
Entregue,,Entregue
Rejeitado,,Rejeitado
Cancelado,,Cancelado
Iniciar diagnostico,,Iniciar diagnóstico
Enviar orcamento,,Enviar orçamento
Aprovar orcamento,,Aprovar orçamento
Recusar orcamento,,Recusar orçamento
Iniciar reparo,,Iniciar reparo
Iniciar testes,,Iniciar testes
Liberar para retirada,,Liberar para retirada
Entregar,,Entregar
Cancelar,,Cancelar
Triagem de troca,,Triagem de troca
Avaliacao,,Avaliação
Oferta pendente,,Oferta pendente
Oferta apresentada,,Oferta apresentada
Oferta aceita,,Oferta aceita
Oferta recusada,,Oferta recusada
Aquisicao aprovada,,Aquisição aprovada
Em revisao,,Em revisão
Pronto para venda,,Pronto para venda
Encerrado,,Encerrado
Iniciar avaliacao,,Iniciar avaliação
Preparar oferta,,Preparar oferta
Apresentar oferta,,Apresentar oferta
Aceitar oferta,,Aceitar oferta
Recusar oferta,,Recusar oferta
Aprovar aquisicao,,Aprovar aquisição
Iniciar revisao,,Iniciar revisão
Liberar para venda,,Liberar para venda
Encerrar,,Encerrar
Identificacao,,Identificação
Serie,,Série
Diagnostico tecnico,,Diagnóstico técnico
Diagnostico,,Diagnóstico
Tecnico responsavel,,Técnico responsável
Situacao da aprovacao,,Situação da aprovação
Aprovacao,,Aprovação
Orcamento,,Orçamento
Servicos e pecas,,Serviços e peças
Acessorios entregues,,Acessórios entregues
Observacoes internas,,Observações internas
Testes de saida,,Testes de saída
Checklist tecnico,,Checklist técnico
Garantia ate,,Garantia até
Administracao,,Administração
Descricao,,Descrição
Deposito,,Depósito
Valor unitario,,Valor unitário
Observacoes,,Observações
Verificacao,,Verificação
Critico,,Crítico
Intencao do cliente,,Intenção do cliente
Avaliacao tecnica,,Avaliação técnica
Checklist de avaliacao,,Checklist de avaliação
Saude da bateria,,Saúde da bateria
Situacao do IMEI,,Situação do IMEI
Observacoes tecnicas,,Observações técnicas
Formacao da oferta,,Formação da oferta
Excecao de margem aprovada,,Exceção de margem aprovada
Justificativa da excecao,,Justificativa da exceção
Situacao da oferta,,Situação da oferta
Preco do item desejado,,Preço do item desejado
Diferenca do cliente,,Diferença do cliente
Observacoes da oferta,,Observações da oferta
Aquisicao e preparacao,,Aquisição e preparação
Deposito de destino,,Depósito de destino
Numero de serie gerado,,Número de série gerado
Aquisicao aprovada em,,Aquisição aprovada em
Aguardando peca,,Aguardando peça
Aguardar peca,,Aguardar peça
Retomar reparo,,Retomar reparo
Search,,Buscar
Notification,,Notificações
Save,,Salvar
New Service Device,,Novo aparelho
New Repair Order,,Nova ordem de serviço
Add Service Device,,Cadastrar aparelho
Add Repair Order,,Registrar reparo
List View,,Lista
Last Updated On,,Última atualização
Add Customer,,Cadastrar cliente
New Customer,,Novo cliente
Add Trade In Evaluation,,Nova avaliação de troca
New Trade In Evaluation,,Nova avaliação de troca
Filter,,Filtro
Clear all filters,,Limpar filtros
Sort By,,Ordenar por
ID,,Código
Created On,,Criado em
Most Used,,Mais utilizados
